theme,url,img
BELIEVE IN YOURSELF,/inspirational-quotes/8161-just-remember-when-it-comes-to-your-life-you,https://assets.passiton.com/quotes/quote_artwork/8161/medium/20201201_tuesday_quote.jpg?1606327529
BELIEVE IN YOURSELF,/inspirational-quotes/6545-believe-in-yourself-and-all-that-you-are-know,https://assets.passiton.com/quotes/quote_artwork/6545/medium/20201130_monday_quote.jpg?1606327504
GRATITUDE,/inspirational-quotes/4614-when-i-started-counting-my-blessings-my-whole,https://assets.passiton.com/quotes/quote_artwork/4614/medium/20201127_friday_quote.jpg?1605830558
GRATITUDE,/inspirational-quotes/8160-gratitude-unlocks-the-fullness-of-life-it,https://assets.passiton.com/quotes/quote_artwork/8160/medium/20201126_thursday_quotex.jpg?1605895593
GRATITUDE,/inspirational-quotes/8159-gratitude-is-a-powerful-catalyst-for-happiness,https://assets.passiton.com/quotes/quote_artwork/8159/medium/20201125_wednesday_quote.jpg?1605830510
GRATITUDE,/inspirational-quotes/3040-thankfulness-is-the-beginning-of-gratitude,https://assets.passiton.com/quotes/quote_artwork/3040/medium/20201124_tuesday_quotex.jpg?1605895562
GRATITUDE,/inspirational-quotes/8157-start-each-day-with-a-positive-thought-and-a,https://assets.passiton.com/quotes/quote_artwork/8157/medium/20201123_monday_quote.jpg?1605830150
PERSISTENCE,/inspirational-quotes/7656-we-are-made-to-persist-thats-how-we-find-out,https://assets.passiton.com/quotes/quote_artwork/7656/medium/20201118_wednesday_quote.jpg?1605289394
PERSISTENCE,/inspirational-quotes/6248-this-i-do-know-beyond-any-reasonable-doubt,https://assets.passiton.com/quotes/quote_artwork/6248/medium/20201119_thursday_quote.jpg?1605289417
PERSISTENCE,/inspirational-quotes/5136-consider-the-postage-stamp-its-usefulness,https://assets.passiton.com/quotes/quote_artwork/5136/medium/20201120_friday_quote.jpg?1605289442
PERSISTENCE,/inspirational-quotes/8156-the-most-essential-factor-is-persistence-the,https://assets.passiton.com/quotes/quote_artwork/8156/medium/20201117_tuesday_quote.jpg?1605289355
PERSISTENCE,/inspirational-quotes/7917-persistence-can-change-failure-into,https://assets.passiton.com/quotes/quote_artwork/7917/medium/20201116_monday_quote.jpg?1605289330
HOPE,/inspirational-quotes/8155-hope-sees-the-invisible-feels-the-intangible,https://assets.passiton.com/quotes/quote_artwork/8155/medium/20201113_friday_quote.jpg?1604688356
HOPE,/inspirational-quotes/4624-where-hope-grows-miracles-blossom,https://assets.passiton.com/quotes/quote_artwork/4624/medium/20201112_thursday_quote.jpg?1604688335
HOPE,/inspirational-quotes/8154-this-new-day-is-too-dear-with-its-hopes-and,https://assets.passiton.com/quotes/quote_artwork/8154/medium/20201111_wednesday_quote.jpg?1604688314
HOPE,/inspirational-quotes/8018-our-human-compassion-binds-us-the-one-to-the,https://assets.passiton.com/quotes/quote_artwork/8018/medium/20201109_monday_quote.jpg?1604688266
HOPE,/inspirational-quotes/8153-hope-is-a-passion-for-the-possible,https://assets.passiton.com/quotes/quote_artwork/8153/medium/20201110_tuesday_quote.jpg?1604688288
CIVILITY,/inspirational-quotes/8151-make-living-your-life-with-absolute-integrity,https://assets.passiton.com/quotes/quote_artwork/8151/medium/20201106_friday_quote.jpg?1604081299
CIVILITY,/inspirational-quotes/7715-practice-civility-toward-one-another-admire,https://assets.passiton.com/quotes/quote_artwork/7715/medium/20201105_thursday_quote.jpg?1604081275
CIVILITY,/inspirational-quotes/8152-dont-ever-forget-that-youre-a-citizen-of-this,https://assets.passiton.com/quotes/quote_artwork/8152/medium/20201104_wednesday_quote.jpg?1604081252
CIVILITY,/inspirational-quotes/7711-civility-is-the-art-and-act-of-caring-for-others,https://assets.passiton.com/quotes/quote_artwork/7711/medium/20201103_tuesday_quote.jpg?1604081224
CIVILITY,/inspirational-quotes/7712-genuine-tolerance-does-not-mean-ignoring,https://assets.passiton.com/quotes/quote_artwork/7712/medium/20201102_monday_quote.jpg?1604081195
MAKING A DIFFERENCE,/inspirational-quotes/3493-you-must-be-the-change-you-wish-to-see-in-the,https://assets.passiton.com/quotes/quote_artwork/3493/medium/20201030_friday_quote.jpg?1603383782
MAKING A DIFFERENCE,/inspirational-quotes/8150-but-where-was-i-to-start-the-world-is-so-vast,https://assets.passiton.com/quotes/quote_artwork/8150/medium/20201029_thursday_quote.jpg?1603383758
MAKING A DIFFERENCE,/inspirational-quotes/8149-each-one-of-us-can-make-a-difference-together,https://assets.passiton.com/quotes/quote_artwork/8149/medium/20201026_monday_quote.jpg?1603383688
MAKING A DIFFERENCE,/inspirational-quotes/4128-in-this-life-we-cannot-always-do-great-things,https://assets.passiton.com/quotes/quote_artwork/4128/medium/20201028_wednesday_quote.jpg?1603383733
MAKING A DIFFERENCE,/inspirational-quotes/6826-we-do-not-need-magic-to-transform-our-world-we,https://assets.passiton.com/quotes/quote_artwork/6826/medium/20201027_tuesday_quote.jpg?1603383711
HARD WORK,/inspirational-quotes/3752-the-only-place-success-comes-before-work-is-in,https://assets.passiton.com/quotes/quote_artwork/3752/medium/20201023_friday_quote_update.jpg?1602883670
HARD WORK,/inspirational-quotes/7750-a-dream-doesnt-become-reality-through-magic-it,https://assets.passiton.com/quotes/quote_artwork/7750/medium/20201022_thursday_quote_update.jpg?1602883540
HARD WORK,/inspirational-quotes/8147-work-hard-at-work-worth-doing,https://assets.passiton.com/quotes/quote_artwork/8147/medium/20201021_wednesday_quote.jpg?1602872491
HARD WORK,/inspirational-quotes/8146-the-only-limit-to-the-height-of-your,https://assets.passiton.com/quotes/quote_artwork/8146/medium/20201020_tuesday_quote.jpg?1602872463
HARD WORK,/inspirational-quotes/4704-work-hard-be-kind-and-amazing-things-will,https://assets.passiton.com/quotes/quote_artwork/4704/medium/20201019_monday_quote.jpg?1602872415
